record_id,state,district,land_type,project_type,cadastral_area_sqm,survey_area_sqm,compensation_amount,displaced_families,notification_date,award_date,rr_disbursement_ratio,is_anomaly_injected,injected_anomaly_type
REC_100000,Maharashtra,District_1,Residential,Railway,19038.93,18197.57,46377671.51,4,2020-08-16,2021-07-04,0.94,0,None
REC_100001,Maharashtra,District_18,Agricultural,Dam,19413.24,19413.24,60086958.38,3,2020-02-02,2020-08-30,0.86,1,Compensation Outlier
REC_100002,Gujarat,District_8,Agricultural,Railway,6178.97,6151.82,2408265.52,0,2022-01-03,2023-09-04,0.9,0,None
REC_100003,Gujarat,District_15,Residential,Highway,1405.78,1471.24,2254196.0,0,2022-02-16,2023-01-25,0.82,0,None
REC_100004,UP,District_11,Residential,Railway,9082.97,8863.87,19384535.43,1,2020-08-08,2022-01-14,0.9,0,None
REC_100005,Maharashtra,District_3,Forest,Highway,4104.66,4144.85,898400.16,0,2021-01-02,2022-06-18,0.84,0,None
REC_100006,MP,District_9,Agricultural,Dam,6843.94,15837.18,4045939.52,1,2021-07-03,2022-05-06,0.86,1,Spatial Discrepancy
REC_100007,Maharashtra,District_18,Residential,Urban Development,16142.84,15344.61,52231465.7,3,2021-08-14,2022-08-25,0.95,0,None
REC_100008,Maharashtra,District_2,Commercial,Urban Development,1943.87,1911.0,12848517.18,0,2020-03-22,2021-05-14,0.87,0,None
REC_100009,Maharashtra,District_13,Residential,Dam,12932.37,13269.63,27566272.68,3,2021-10-12,2023-04-18,0.9,0,None
REC_100010,Gujarat,District_12,Residential,Railway,8837.05,8673.0,11098814.99,2,2021-11-17,2023-02-13,0.85,0,None
REC_100011,Maharashtra,District_20,Commercial,Railway,15233.25,15887.82,80748570.37,3,2020-06-16,2022-03-31,0.97,0,None
REC_100012,UP,District_9,Commercial,Urban Development,4138.12,4062.8,26675630.57,0,2022-05-13,2023-01-05,0.89,0,None
REC_100013,Gujarat,District_2,Residential,Dam,17284.25,16627.21,33654996.09,4,2020-10-01,2021-06-05,0.86,0,None
REC_100014,Gujarat,District_19,Residential,Railway,14208.87,14204.96,41406097.0,2,2021-11-02,2023-09-24,0.81,0,None
REC_100015,UP,District_15,Commercial,Urban Development,10302.24,9936.4,78443270.46,2,2020-05-22,2021-07-28,0.85,0,None
